time,Q_total,dp_series,eva1.Qb_flow,eva1.T,eva1.U,eva1.level,eva1.m,eva1.p,eva2.Qb_flow,eva2.T,eva2.U,eva2.level,eva2.m,eva2.p,liquidFraction1,liquidFraction2,m_feed,m_out,m_series,massChange2,r_energy1,r_energy2,r_energyTotal,r_mass1,r_mass2,r_massTotal,r_seriesEnergy,r_seriesMass
0,1800,100,1000,285.1194651444556,1256965.336575714,0.05,24.98664827043165,1400,800,284.0009833160033,1139854.958256216,0.05,24.98960260036377,1300,0.5,0.5,0.0004,0.0007999999999999999,0.0004,0,0,0,0,0,0,0,0,0
2.4,1800,100.3656343948455,1000,285.1194836033834,1256967.18183022,0.04999999654543815,24.98664649205609,1400.001704670365,800,283.9967764188647,1139370.354003183,0.04999806907195498,24.98864790689092,1299.63607027552,0.4999999654543815,0.4999806907195498,0.0004,0.0007970885622041587,0.0004014625375793821,-0.0009546934728490442,-4.188658309089988e-10,-7.717062544543296e-10,-9.578116078046151e-10,3.473849617455205e-15,1.045160052254301e-14,1.392516744275207e-14,0,0
4.8,1800,100.7031003982336,1000,285.1194224808044,1256960.516846391,0.04999998589143159,24.98664134037559,1399.996060045651,800,283.9928092330896,1138911.378711433,0.04999615966224953,24.98770337209931,1299.292959647417,0.4999998589143159,0.4999615966224953,0.0004,0.0007943436771793385,0.0004028124015929343,-0.001899228264459651,-3.107416546299646e-10,-3.974491846747696e-10,-7.082689990056679e-10,1.382915964631259e-15,5.913238648735941e-15,7.296030099523954e-15,0,0
7.2,1800,101.0143028173111,1000,285.11928793934,1256946.000643098,0.04999996859539236,24.98663307655842,1399.983635312055,800,283.9890664779122,1138476.39752644,0.0499942703973285,24.98676834806267,1298.969332494744,0.4999996859539236,0.4999427039732849,0.0004,0.0007917546599579491,0.0004040572112692443,-0.002834252301099127,-1.551221373574663e-10,-5.154561222298071e-10,-6.707523425575346e-10,-5.25552603552245e-15,5.323866347772821e-15,6.765421556309548e-17,0,0
9.6,1800,101.3010195905792,1000,285.1190857246235,1256924.24765201,0.04999994517702941,24.98662194410314,1399.964961221906,800,283.9855338728967,1138063.882724355,0.04999239999376566,24.98584222930901,1298.663941631326,0.4999994517702941,0.4999239999376566,0.0004,0.0007893115330506116,0.000405204078362317,-0.003760371054760014,-1.742250788083766e-10,-1.937223714776337e-10,-1.334683474851772e-10,-2.04422253863995e-15,3.822463179314894e-15,1.779826286352204e-15,0,0
12,1800,101.5649103039698,1000,285.1188211930402,1256895.830683084,0.04999991612085433,24.98660817001377,1399.940532635238,800,283.982198071743,1137672.406611632,0.04999054725227522,24.98492445000722,1298.375622331268,0.4999991612085433,0.4999054725227522,0.0004,0.000787004978650144,0.0004062596412158791,-0.004678150356554056,-2.032436441368191e-10,3.619788913056254e-10,-7.594280759803951e-11,-1.320129986229213e-14,4.713243684228985e-15,-8.488869329692506e-15,0,0
14.4,1800,101.8075241465795,1000,285.1184993376905,1256861.283699658,0.04999988187852705,24.98659196589977,1399.910810900564,800,283.9790466003396,1137300.634882558,0.04998871105211154,24.98401448133501,1298.103286753985,0.4999988187852704,0.4998871105211153,0.0004,0.0007848262940318781,0.0004072300965863178,-0.00558811902876144,4.433786671143025e-11,1.514308678451926e-10,4.215507942717522e-10,-7.907215192944766e-15,4.527628272299467e-15,-3.384445501630751e-15,0,0
16.8,1800,102.0303072976483,1000,285.1181248125293,1256821.104399323,0.04999984287103685,24.98657352899875,1399.876226070578,800,283.9760677991671,1136947.320443068,0.0499868903458633,24.98311182903165,1297.84591877293,0.4999984287103685,0.499868903458633,0.0004,0.0007827673501834396,0.0004081212291905931,-0.006490771332117617,-3.215063770767301e-10,1.887201506178826e-10,-3.719833330251276e-10,-9.317253999580055e-15,5.917141776556889e-15,-3.404394821604484e-15,0,0
19.2,1800,102.2346097992306,1000,285.1177019548587,1256775.756618382,0.0499997994907351,24.98655304312944,1399.837178968278,800,283.9732507696333,1136611.297657988,0.04998508415460617,24.98221603111839,1297.602569169047,0.4999979949073509,0.4998508415460616,0.0004,0.0007808205533523778,0.0004089384391969224,-0.007386569245376506,-3.666400516522117e-10,7.503331289626658e-11,-5.315996531862766e-10,-1.028201775023913e-14,5.534635250104003e-15,-4.750540238962486e-15,0,0
21.6,1800,102.4216920009401,1000,285.1172348064511,1256725.672590162,0.04999975210324416,24.98653067958669,1399.794043128777,800,283.9705853236787,1136291.476949235,0.04998329156335235,24.98132665575797,1297.372351127837,0.4999975210324415,0.4998329156335235,0.0004,0.000778978809022692,0.0004096867680037603,-0.008275944605802721,-1.082867129298393e-10,-1.00953911896795e-10,-2.150954969692975e-10,-1.068074665169783e-14,9.327608130327292e-15,-1.360023205165817e-15,0,0
24,1800,102.5927305615057,1000,285.1167271332433,1256671.255050779,0.04999970104923785,24.98650659797596,1399.747166611095,800,283.9680619367865,1135986.839759647,0.04998151171680939,24.98044329925892,1297.154436049589,0.4999970104923785,0.4998151171680938,0.0004,0.0007772354883967128,0.0004103709222460229,-0.009159301104848083,-5.093170329928398e-11,3.469722287263721e-10,5.638867150992155e-11,-9.185035544645448e-15,3.851086116668512e-15,-5.341213582532589e-15,0,0
